in,xla,xlb
1362,0.20746523,A
1363,0.8902387,A
1364,1.1682125,C
1365,1.2121513,C
1366,1.155277,C
1367,1.2069917,C
1368,1.2329336,A
1369,0.5424262,A
1370,1.1856424,C
1371,0.081243254,B
1372,1.1187582,B
1373,0.3278818,A
1374,0.9712709,B
1375,0.37616768,C
1376,1.0952595,B
1377,0.15375412,A
1378,-0.019544832,B
1379,0.09064157,B
1380,0.10890845,A
1381,0.11457052,A
1382,1.0155108,C
1383,1.1366621,B
1384,0.98349273,B
1385,0.7929012,C
1386,0.19345987,C
1387,0.47624677,A
1388,1.1764503,B
1389,1.2006888,A
1390,0.98588336,A
1391,1.1478137,B
1392,0.9060009,B
1393,0.7807866,A
1394,1.2284542,C
1395,0.9222141,B
1396,1.219811,A
1397,0.46627995,A
1398,0.5239563,B
1399,1.0086521,B
1400,1.040855,A
1401,0.8976003,C
1402,1.2299039,C
1403,1.2215428,B
1404,1.1418145,C
1405,1.2265434,C
1406,0.45786363,C
1407,0.6781895,C
1408,1.0281125,C
1409,0.7630415,B
1410,0.9347792,A
1411,0.7330928,C
1412,1.1135676,C
1413,1.1064131,B
1414,0.879034,C
1415,1.2004344,C
1416,1.2158426,A
1417,1.1074697,C
1418,1.1154176,A
1419,0.73099893,C
1420,1.2112248,A
1421,0.95177674,A
1422,0.6753864,B
1423,0.9627844,C
1424,0.99204206,C
1425,1.2051543,C
1426,1.0159153,B
1427,1.2047299,C
1428,0.6328086,B
1429,1.2319809,B
1430,0.84825766,A
1431,-0.015504394,A
1432,1.0622425,A
1433,0.78885937,A
1434,0.13524242,C
1435,0.96970594,A
1436,0.49116883,C
1437,0.36424318,A
1438,0.02989851,A
1439,0.8056554,A
1440,0.20877883,A
1441,1.0779407,C
1442,1.1323521,B
1443,1.2209995,A
1444,0.08185495,B
1445,0.87507844,B
1446,0.84218526,A
1447,1.236467,A
1448,1.1961204,A
1449,0.2469584,B
1450,1.1700411,A
1451,1.1892469,C
1452,0.66415286,C
1453,0.29854736,C
1454,1.2217331,C
1455,1.1968052,B
1456,1.1749904,C
1457,0.88058305,A
1458,1.2232919,B
1459,1.222127,C
1460,1.1387461,B
1461,1.2090192,B
1462,0.9087877,A
1463,0.63751674,A
1464,0.3102141,C
1465,0.8622301,C
1466,0.6582525,B
1467,0.9317705,A
1468,0.4438252,C
1469,0.65479535,A
1470,1.2194794,B
1471,1.0176233,B
1472,1.2323602,C
1473,1.2021914,A
1474,0.5011129,C
1475,0.13409062,A
1476,1.090757,B
1477,1.2509669,C
1478,1.2474782,B
1479,1.1411264,A
1480,1.1686321,C
1481,1.7079103,C
1482,0.80383575,B
1483,0.52746725,B
1484,1.1414323,C
1485,0.51130587,B
1486,0.64485025,C
1487,0.17501664,B
1488,1.1485575,C
1489,0.8071769,A
1490,0.98609316,C
1491,0.67238015,B
1492,1.1634085,A
1493,0.6710555,A
1494,1.1315209,B
1495,1.1608748,A
1496,1.15351,C
1497,1.2088667,A
1498,0.54228526,A
1499,1.1820098,B
1500,0.72258687,C
1501,0.9746657,A
1502,-0.024775881,A
1503,1.0003562,C
1504,1.2070782,B
1505,1.231968,C
1506,0.70401764,C
1507,1.0355059,A
1508,1.070989,A
1509,1.2171686,B
1510,1.2169087,A
1511,0.17924318,C
1512,1.2033683,A
1513,0.8322989,C
1514,0.8564467,C
1515,0.7143006,A
1516,0.02433598,B
1517,1.0974432,A
1518,1.0179309,A
1519,0.6085737,C
1520,0.6506007,C
1521,0.60704595,C
1522,0.87184215,C
1523,-0.040343273,B
1524,0.97769177,A
1525,0.82135046,B
1526,0.48490757,C
1527,1.2010591,B
1528,1.2258991,B
1529,0.8893956,C
1530,1.1195257,C
1531,1.1490811,C
1532,1.1831032,C
1533,0.52739036,B
1534,0.945757,C
1535,0.52799594,C
1536,1.2154682,A
1537,1.1877337,A
1538,1.2237546,C
1539,0.7330198,B
1540,0.7436434,C
1541,0.96537286,A
1542,0.90971255,C
1543,1.1330739,C
1544,1.185102,C
1545,1.0711263,B
1546,1.2230088,B
1547,1.0779485,A
1548,0.30426157,C
1549,0.285703,A
1550,1.2030041,C
1551,0.18553153,C
1552,0.08806891,C
1553,1.1267452,B
1554,1.2322367,A
1555,1.1594235,A
1556,1.217975,B
1557,0.7692989,C
1558,0.9131186,A
1559,0.87194383,C
1560,0.5429033,B
1561,1.0685492,A
1562,0.4388494,B
1563,-0.054490343,B
1564,1.0092922,B
1565,1.2000395,A
1566,1.2055358,C
1567,0.71743894,A
1568,1.2372248,C
1569,0.26594198,A
1570,0.7261008,A
1571,1.1371162,A
1572,1.172647,A
1573,0.7415924,B
1574,1.2086272,C
1575,0.9983934,B
1576,0.65992624,A
1577,1.0262555,A
1578,0.006285239,C
1579,0.0048419237,B
1580,0.69544435,C
1581,1.2155964,B
1582,1.0981221,B
1583,1.1336675,B
1584,1.1954839,A
1585,1.2270845,A
1586,0.9555646,C
1587,0.7437647,C
1588,0.7723395,A
1589,0.4717725,A
1590,1.0331168,B
1591,1.1552889,C
1592,1.1716287,A
1593,1.0127788,C
1594,1.0969768,A
1595,0.7566645,A
1596,1.1241775,B
1597,1.0376025,A
1598,0.47575825,C
1599,0.61303324,C
1600,-0.045623288,A
1601,0.8471671,B
1602,1.099637,B
1603,0.12762572,C
1604,1.0649712,C
1605,1.1401697,A
1606,1.1856503,C
1607,1.1454026,A
1608,1.1523522,C
1609,0.9379604,B
1610,0.8842734,C
1611,0.07013647,B
1612,0.35327798,C
1613,1.0548215,C
1614,1.0281775,B
1615,0.53058964,B
1616,1.0663998,B
1617,0.52023387,C
1618,0.32764074,B
1619,-0.053514596,B
1620,1.5399084,B
1621,0.7538389,B
1622,1.1990356,B
1623,-0.10976638,B
1624,1.21275,A
1625,1.1507193,B
1626,1.0555137,B
1627,0.28823555,B
1628,0.09915117,A
1629,0.9085647,C
1630,0.82400733,C
1631,0.7447245,C
1632,1.0936579,A
1633,0.66642904,A
1634,0.99179447,B
1635,0.3268385,A
1636,0.8629912,A
1637,1.2087238,B
1638,1.2174265,C
1639,0.9441132,A
1640,0.29723433,A
1641,0.20504868,B
1642,0.5898957,A
1643,0.1583738,A
1644,1.2299516,C
1645,0.8222985,A
1646,0.31938833,B
1647,0.31898883,B
1648,0.7903364,A
1649,0.76272076,B
1650,1.171196,C
1651,1.1635923,A
1652,0.9535653,C
1653,1.1137651,B
1654,-0.056054942,C
1655,0.81849885,A
1656,0.5342381,B
1657,0.73080254,C
1658,0.17469022,B
1659,0.89215773,C
1660,1.2100618,C
1661,1.2086208,B
1662,0.117460065,C
1663,1.0948128,B
1664,0.84681064,C
1665,0.14137834,A
1666,0.1289416,A
1667,0.832908,B
1668,0.9979438,C
1669,1.0966702,B
1670,0.28811562,C
1671,0.34898633,A
1672,0.9650066,B
1673,1.1489629,C
1674,1.226898,C
1675,0.78131926,C
1676,1.2185526,C
1677,1.116816,C
1678,1.1129285,A
1679,1.2239251,A
1680,0.739593,A
1681,0.916014,A
1682,-0.1602196,C
1683,1.0419323,B
1684,0.19016549,B
1685,1.1728747,A
1686,-0.05158636,B
1687,1.1279482,B
1688,0.7480754,C
1689,0.18204558,C
1690,1.164641,B
1691,0.9475099,B
1692,1.1584406,C
1693,0.9661268,C
1694,0.74174136,A
1695,0.8110512,A
1696,1.1630747,C
1697,1.1756232,B
1698,0.6727457,B
1699,-0.1365602,C
1700,-0.069669075,A
1701,1.2199234,A
1702,1.1603141,C
1703,0.04807,C
1704,0.2183629,B
1705,1.1547563,B
1706,0.81636727,B
1707,0.41167125,C
1708,1.1545848,A
1709,0.87839115,B
1710,0.40159068,C
1711,1.1400633,C
1712,0.59442025,A
1713,1.1492558,A
1714,1.2364204,B
1715,1.0041065,A
1716,0.8164191,A
1717,1.1963036,A
1718,1.149343,C
1719,0.5575977,B
1720,1.168647,B
1721,1.1136385,B
1722,0.6576837,C
1723,1.1130042,B
1724,0.9891601,C
1725,0.4600755,B
1726,1.2121658,A
1727,1.2379235,C
1728,0.08334802,B
1729,0.85824764,C
1730,1.1880447,C
1731,0.9195455,C
1732,0.6464596,B
1733,1.0625076,B
1734,1.29016,B
1735,0.21859267,C
1736,0.63390625,A
1737,0.36687103,C
1738,0.99317485,C
1739,0.0017778799,C
1740,1.0604717,A
1741,0.7471931,B
1742,0.22246596,B
1743,0.38653716,C
1744,0.41652793,A
1745,0.5959915,A
1746,1.1184317,A
1747,0.68461907,B
1748,1.1678659,C
1749,0.77677065,B
1750,1.2310684,A
1751,0.33238938,C
1752,1.1593485,B
1753,0.7583133,B
1754,0.37611628,C
1755,0.91141,B
1756,0.26840258,B
1757,0.65755254,A
1758,0.81215376,C
1759,-0.0076090395,A
1760,1.1736864,B
1761,1.1822194,B
1762,1.1481569,B
1763,1.0016675,A
1764,0.5170789,B
1765,1.1458833,B
1766,0.049308106,B
1767,1.2131282,B
1768,1.176396,B
1769,1.2237433,C
1770,1.0813279,A
1771,0.89262474,A
1772,1.0967269,B
1773,0.5997574,B
1774,0.85553074,A
1775,0.7408439,B
1776,1.1042486,C
1777,1.0500376,B
1778,0.6385516,A
1779,0.4361313,C
1780,1.0407338,A
1781,1.054059,C
1782,1.1156062,A
1783,1.0359135,C
1784,0.7103688,A
1785,1.1665653,C
1786,0.40622437,A
1787,0.70327115,B
1788,0.20234343,C
1789,0.3168279,C
1790,0.84398574,B
1791,0.32382542,B
1792,-0.098805875,C
1793,1.1871014,A
1794,0.99924845,C
1795,1.188408,A
1796,0.70927256,B
1797,-0.100089654,C
1798,0.6721805,B
1799,1.1951575,A
1800,0.7237225,A
1801,0.34685075,C
1802,1.1883609,C
1803,-0.034543652,A
1804,1.2108277,C
1805,0.8975593,C
1806,0.8558317,C
1807,0.7439531,B
1808,0.34412307,A
1809,0.6637758,A
1810,1.0745814,A
1811,0.3506489,B
1812,0.4617898,A
1813,0.5091041,B
1814,0.6416267,A
1815,0.100155376,C
1816,0.57946134,C
1817,0.019215595,C
1818,0.7689021,A
1819,1.0622191,C
1820,0.26050657,A
1821,0.4635287,B
1822,0.93359244,B
1823,1.094185,A
1824,0.7982806,A
1825,0.30889326,C
1826,1.1227242,B
1827,1.1034591,C
1828,0.52115524,A
1829,0.28797162,A
1830,0.38616055,B
1831,0.18138511,C
1832,1.0857722,C
1833,0.50626504,A
1834,0.22702605,A
1835,0.83500934,A
1836,0.8617423,A
1837,1.0374863,C
1838,0.28938,B
1839,1.0692921,B
1840,1.1572076,C
1841,1.0689595,C
1842,1.1230885,C
1843,0.90083474,A
1844,0.051512845,A
1845,1.2130699,B
1846,1.0993314,A
1847,1.1685549,B
1848,1.1390014,A
1849,1.0130475,B
1850,0.13621123,A
1851,0.5495022,C
1852,1.1964443,C
1853,1.002508,A
1854,1.0369785,C
1855,0.4270761,C
1856,0.0607803,A
1857,0.7365192,C
1858,1.2215942,B
1859,0.77579826,A
1860,0.03306923,A
1861,0.9343106,B
1862,0.6441408,A
1863,0.9615989,A
1864,0.9003395,B
1865,0.93370974,C
1866,1.1454546,B
1867,1.2029395,C
1868,0.17282735,B
1869,0.16948599,A
1870,-0.06275037,B
1871,1.0980443,B
1872,1.2220616,C
1873,0.4375388,B
1874,0.15406656,B
1875,-0.16946475,B
1876,0.112873405,A
1877,1.0107328,A
1878,1.097939,A
1879,0.71266156,B
1880,0.41942066,C
1881,0.71225274,C
1882,0.40572196,A
1883,0.5551013,C
1884,1.1514788,B
1885,0.18215309,A
1886,-0.021481268,C
1887,0.04937961,C
1888,0.16962966,B
1889,0.7220807,C
1890,0.6044166,C
1891,0.5810094,B
1892,1.0755658,A
1893,1.0534146,C
1894,1.0957215,B
1895,0.06707302,B
1896,0.16522859,C
1897,0.12748022,A
1898,1.0885717,A
1899,0.2838452,A
1900,0.9804951,A
1901,0.014083661,C
1902,1.1113393,A
1903,0.679941,B
1904,0.87905353,C
1905,0.8265559,A
1906,0.9779541,A
1907,1.2106556,C
1908,0.578543,B
1909,1.0212873,B
1910,-0.05898571,A
1911,0.9762134,A
1912,1.1044896,A
1913,0.97224617,C
1914,0.27400765,C
1915,1.2270291,A
1916,0.17478627,B
1917,0.8997029,C
1918,1.2179112,A
1919,1.2367232,C
1920,1.0670762,C
1921,0.9832998,A
1922,0.1742968,B
1923,0.8409339,A
1924,0.5333409,C
1925,1.0752275,A
1926,0.82898307,A
1927,0.59430635,C
1928,1.1093771,B
1929,1.0571072,C
1930,1.2174011,B
1931,0.9721406,A
1932,0.78521967,C
1933,0.5786097,B
1934,0.835275,A
1935,1.159439,B
1936,-0.14251882,B
1937,0.74535215,B
1938,1.0297792,B
1939,-0.07856672,C
1940,-0.038970195,C
1941,0.36878222,B
1942,1.0971116,A
1943,0.45784208,B
1944,0.75922465,A
1945,0.51952064,A
1946,0.30452633,C
1947,0.798177,A
1948,0.28221047,C
1949,0.07853166,A
1950,1.199508,A
1951,1.2105101,B
1952,1.0437219,A
1953,1.0685571,A
1954,0.15576436,C
1955,0.6888778,C
1956,0.619591,A
1957,1.1504562,A
1958,0.90225524,A
1959,0.9075149,C
1960,1.1589899,A
1961,0.8134574,C
1962,-0.063476965,A
1963,0.9763268,C
1964,1.1898,A
1965,0.5629775,C
1966,0.4959768,B
1967,0.28773573,C
1968,1.0593424,A
1969,0.95244074,B
1970,0.07059038,A
1971,0.45662984,B
1972,-0.0031144507,A
1973,1.179456,C
1974,0.9883671,B
1975,1.071683,A
1976,1.2045348,B
1977,1.0894072,A
1978,0.5537495,A
1979,0.7189985,C
1980,0.26574755,B
1981,0.47689658,B
1982,1.0628628,C
1983,0.8123244,A
1984,0.058969006,B
1985,0.78424287,C
1986,0.1366587,A
1987,0.5719336,A
1988,0.95980895,A
1989,1.0394338,A
1990,1.0173292,C
1991,1.1983435,B
1992,1.0885162,C
1993,0.8201154,B
1994,1.1891036,C
1995,1.2348701,C
1996,0.5439489,B
1997,0.855248,B
1998,1.218765,C
1999,0.9515926,A
2000,1.2165289,B
2001,1.220221,B
2002,1.2440853,B
2003,0.31487393,C
2004,1.2321359,B
2005,1.2439176,C
2006,1.1163234,C
2007,0.86768514,B
2008,1.1175876,B
2009,1.1947418,A
2010,0.94016194,C
2011,0.7650829,A
2012,0.6110082,C
2013,0.21911606,A
2014,1.0621068,B
2015,0.9686939,A
2016,1.1493704,B
2017,0.99360734,B
2018,0.8014027,B
2019,0.554963,B
2020,0.98868674,C
