in,berta,bertb
1369,1.2030199,A
1370,1.1254498,C
1371,0.3099073,B
1372,0.7624204,B
1373,0.006019488,A
1374,0.6537965,B
1375,0.78880763,C
1376,1.398628,B
1377,0.39446095,A
1378,0.34945333,B
1379,0.559782,B
1380,0.05555185,B
1381,0.11186221,A
1382,0.36864257,B
1383,1.2639866,B
1384,1.0768588,B
1385,0.49147177,C
1386,0.18727261,A
1387,0.5255984,A
1388,1.36448,B
1389,1.4522083,A
1390,0.6834818,A
1391,0.74999547,B
1392,1.6356387,B
1393,0.52965707,A
1394,1.5094244,C
1395,0.5163661,B
1396,1.3386092,A
1397,0.48774463,A
1398,0.2906273,C
1399,1.0473491,B
1400,0.7219852,A
1401,0.34254912,C
1402,1.6757572,C
1403,1.4909289,B
1404,1.3643558,C
1405,1.6750245,C
1406,0.6933368,C
1407,0.396101,C
1408,1.4153949,C
1409,0.4549441,B
1410,1.5708951,A
1411,0.22859049,B
1412,1.3620862,C
1413,1.2865584,B
1414,0.7514806,C
1415,1.3934053,C
1416,1.4321817,A
1417,0.769585,C
1418,1.2217695,A
1419,0.08381151,C
1420,1.4750881,A
1421,1.6828331,A
1422,0.32627982,B
1423,0.4944333,C
1424,0.45463303,C
1425,1.2809277,C
1426,1.3272209,B
1427,1.6768347,C
1428,0.8801668,B
1429,1.5239372,B
1430,0.35125268,A
1431,1.4069321,A
1432,0.8723161,A
1433,1.3687322,A
1434,0.1792185,C
1435,1.153647,A
1436,0.18852553,C
1437,0.13219362,C
1438,0.69095504,A
1439,0.12596229,A
1440,1.3265431,A
1441,1.6327081,C
1442,0.94674397,B
1443,1.1289103,A
1444,0.4651543,C
1445,1.2971914,B
1446,0.76361746,A
1447,1.6183021,A
1448,0.8424205,A
1449,0.20631894,B
1450,1.3134699,A
1451,1.289886,C
1452,0.4555151,C
1453,1.2631953,C
1454,1.4982755,C
1455,1.391561,B
1456,0.29404497,C
1457,1.3555577,A
1458,0.9364841,B
1459,0.23546843,C
1460,1.0223365,B
1461,1.4581964,B
1462,0.18982418,A
1463,0.4194274,C
1464,0.40997982,C
1465,1.0031984,C
1466,0.4734019,B
1467,0.5037142,B
1468,1.1168146,B
1469,0.48999006,A
1470,1.3342664,B
1471,0.64977944,B
1472,1.3878863,C
1473,0.8390964,A
1474,0.6034578,C
1475,0.53014755,A
1476,1.3760282,B
1477,1.6014774,C
1478,1.6836332,B
1479,0.7730284,B
1480,0.11355797,C
1481,1.2902243,C
1482,0.52586097,C
1483,0.7340769,B
1484,1.1871533,C
1485,0.2860337,B
1486,0.25099778,C
1487,0.429875,B
1488,1.2806531,C
1489,0.29732054,A
1490,0.07712756,C
1491,1.3353404,B
1492,1.3428066,A
1493,0.42807502,A
1494,0.6277139,B
1495,1.3890419,A
1496,1.1686695,C
1497,1.0673816,A
1498,0.28883344,A
1499,1.318091,B
1500,0.561836,C
1501,0.94019604,A
1502,0.8021288,C
1503,0.16590334,C
1504,1.065619,B
1505,1.4285882,C
1506,0.67772007,C
1507,1.3208508,A
1508,0.8132146,C
1509,1.6230074,B
1510,1.4808961,A
1511,0.6700867,C
1512,1.4405321,A
1513,0.24259841,A
1514,0.81805253,C
1515,0.71811455,A
1516,0.6036223,B
1517,1.2707124,A
1518,1.2936375,C
1519,0.5054935,C
1520,0.31496254,B
1521,0.3535676,B
1522,1.1298926,C
1523,0.7804331,A
1524,0.5658801,A
1525,1.1128817,B
1526,0.67089605,C
1527,1.4336525,B
1528,1.4145916,B
1529,0.85722494,B
1530,0.66394633,C
1531,0.7687173,C
1532,1.3806272,C
1533,0.98942053,B
1534,0.6036818,C
1535,0.64442694,C
1536,1.3888713,A
1537,1.314242,A
1538,0.7719953,C
1539,0.48434782,B
1540,0.79098237,C
1541,0.98630023,A
1542,0.7990716,C
1543,0.74166536,C
1544,0.9041239,C
1545,1.2531512,B
1546,1.1683338,B
1547,0.6120059,A
1548,0.6662451,C
1549,0.27028325,A
1550,1.460319,C
1551,0.23223317,C
1552,1.0373411,C
1553,1.3133423,B
1554,1.5116212,A
1555,0.9274849,A
1556,1.017982,B
1557,0.16069663,C
1558,0.46719146,A
1559,0.43889228,C
1560,0.7787303,B
1561,1.1973672,C
1562,0.529191,B
1563,0.5508374,B
1564,1.3647654,B
1565,1.4108624,A
1566,1.6910367,C
1567,1.1986295,A
1568,1.4738395,C
1569,0.5145058,A
1570,0.46182123,A
1571,1.0526311,A
1572,1.3864353,A
1573,0.25837144,B
1574,1.612597,C
1575,1.2436099,B
1576,0.093169585,A
1577,-0.008673146,A
1578,0.1886352,C
1579,0.50095224,B
1580,1.4818906,C
1581,1.4312958,B
1582,1.3184576,B
1583,1.4183186,B
1584,1.3014097,A
1585,1.5060258,A
1586,1.3482691,C
1587,0.46895164,C
1588,0.60780454,A
1589,0.3088587,A
1590,0.5613215,B
1591,1.1610367,C
1592,1.6397895,A
1593,0.45457366,C
1594,1.508873,A
1595,1.1813481,A
1596,1.3779261,B
1597,0.17003523,A
1598,0.4178481,C
1599,1.2606053,C
1600,0.44420403,A
1601,0.43896726,B
1602,0.43444365,B
1603,1.1099862,C
1604,1.232016,C
1605,1.3015188,A
1606,1.0415947,C
1607,1.6019975,A
1608,0.7537027,C
1609,1.009635,B
1610,1.0910033,C
1611,0.96873665,A
1612,0.6909268,C
1613,0.608377,C
1614,0.71889234,B
1615,0.36525807,B
1616,0.48606485,B
1617,0.53551453,C
1618,0.46041462,A
1619,0.31255338,A
1620,1.2580066,C
1621,0.05944284,B
1622,1.1442053,B
1623,0.118626535,A
1624,1.0913137,A
1625,0.89106506,B
1626,0.5408077,B
1627,0.93780565,B
1628,0.5793586,A
1629,1.6465106,C
1630,0.74707353,C
1631,0.18780084,C
1632,1.0583701,A
1633,0.6570019,A
1634,1.2959347,B
1635,1.2066828,A
1636,0.045155562,A
1637,1.1530154,B
1638,1.0274436,C
1639,0.10835454,A
1640,0.61980593,A
1641,0.2540817,B
1642,0.6086258,A
1643,0.33721304,C
1644,1.3409016,C
1645,1.1116989,A
1646,0.16844945,B
1647,0.094757624,B
1648,0.5073778,A
1649,0.32737494,B
1650,1.3320754,C
1651,0.95493233,A
1652,0.16643313,C
1653,1.4203455,B
1654,0.5997822,C
1655,0.19485123,B
1656,0.8323877,B
1657,0.37958604,B
1658,0.09382886,B
1659,0.7913992,B
1660,1.2585173,C
1661,1.3874216,B
1662,0.45385045,B
1663,1.0136131,B
1664,1.38586,C
1665,0.25033402,A
1666,0.15397346,A
1667,0.8889939,B
1668,0.15579535,B
1669,1.2384964,B
1670,0.9501003,C
1671,0.7146847,A
1672,0.46620226,B
1673,0.82088965,C
1674,1.6781778,C
1675,0.95265675,C
1676,1.3635345,C
1677,1.38166,C
1678,1.0697916,A
1679,1.6277574,A
1680,0.29727954,A
1681,0.87543476,A
1682,0.4322969,C
1683,1.0637369,B
1684,0.5146438,B
1685,1.4724941,A
1686,0.75118685,B
1687,1.1532474,B
1688,0.83751184,B
1689,0.55105585,C
1690,0.9174371,B
1691,0.5625344,B
1692,1.4366565,C
1693,0.7304114,C
1694,0.13921818,A
1695,0.24411584,A
1696,1.3537564,C
1697,0.55919075,B
1698,0.93209416,B
1699,0.29120773,C
1700,0.06617516,B
1701,1.3786979,A
1702,0.7614429,C
1703,0.41461986,C
1704,0.35706657,B
1705,1.426276,B
1706,1.3486893,B
1707,0.33001834,C
1708,0.8964453,A
1709,0.8469797,B
1710,0.2953569,C
1711,1.2277303,C
1712,0.8331475,A
1713,0.014430821,A
1714,1.6271114,B
1715,0.36544853,A
1716,0.21652986,A
1717,0.478191,A
1718,1.3546875,C
1719,1.4126744,B
1720,1.2957673,B
1721,1.193509,B
1722,0.8332202,C
1723,0.94055307,B
1724,1.1685392,C
1725,0.16148172,B
1726,1.2046427,A
1727,1.7090976,C
1728,0.057953924,B
1729,0.5640137,C
1730,1.2520347,C
1731,0.5818905,C
1732,0.46925312,B
1733,0.38141474,B
1734,1.0481751,C
1735,0.48264307,B
1736,0.8614098,A
1737,0.61571866,C
1738,0.93068945,B
1739,0.09605099,C
1740,1.0939189,A
1741,0.5283359,B
1742,0.826739,B
1743,0.48980775,C
1744,0.6005372,A
1745,0.19378284,A
1746,1.3248596,A
1747,0.62574846,B
1748,0.7986072,C
1749,1.0576918,B
1750,1.4572057,A
1751,0.20243187,C
1752,1.2892176,B
1753,0.42459577,B
1754,0.38512397,C
1755,0.23347217,A
1756,0.52472913,A
1757,0.47385117,A
1758,0.51615655,C
1759,0.35073933,B
1760,1.1248454,B
1761,1.6131971,B
1762,0.60890496,C
1763,0.92840356,A
1764,0.15638658,B
1765,1.3307734,B
1766,0.33447325,A
1767,1.4154066,B
1768,1.2128695,B
1769,0.67569065,C
1770,0.35137337,B
1771,0.47157258,A
1772,1.2978554,B
1773,0.47446078,B
1774,0.6768663,A
1775,1.6007316,B
1776,0.9955016,C
1777,0.23702034,B
1778,0.008760527,A
1779,0.2428165,C
1780,0.686836,A
1781,0.44142592,C
1782,1.2755709,A
1783,0.5069647,C
1784,0.18879983,A
1785,1.1629843,C
1786,0.4300602,A
1787,0.7196417,B
1788,0.47287118,C
1789,0.36301547,C
1790,0.1467826,B
1791,1.1592127,B
1792,0.48261014,C
1793,0.9179409,A
1794,0.5366818,C
1795,1.1457838,A
1796,0.70453286,B
1797,0.2719178,B
1798,0.56756794,B
1799,1.4618142,A
1800,0.28500032,A
1801,1.141598,C
1802,1.2742617,C
1803,0.3498643,A
1804,1.1852534,C
1805,1.2191961,C
1806,0.28501725,B
1807,0.4795897,B
1808,0.711681,A
1809,1.0150406,A
1810,0.51546466,A
1811,0.51693976,B
1812,0.3172127,A
1813,1.5089514,A
1814,0.28795692,A
1815,0.42592916,C
1816,0.64013016,B
1817,0.66938484,C
1818,0.25713545,A
1819,1.1166698,C
1820,1.4464915,B
1821,0.7679992,A
1822,0.28453878,B
1823,0.73644054,A
1824,0.5149885,A
1825,0.6236296,C
1826,0.65594965,B
1827,0.7001184,C
1828,0.26314652,A
1829,0.029467225,C
1830,0.79791135,B
1831,0.9446033,B
1832,0.8261833,C
1833,0.14190573,A
1834,0.34180543,A
1835,0.38361686,A
1836,0.74114645,A
1837,1.2792299,C
1838,0.7074667,A
1839,1.1086302,B
1840,0.29617637,C
1841,0.20482749,C
1842,1.5718819,C
1843,0.19825691,A
1844,0.17577142,A
1845,1.5174873,B
1846,1.247148,A
1847,1.2851994,C
1848,1.5179374,A
1849,0.9344921,B
1850,0.18460986,A
1851,0.75380456,B
1852,1.1401105,C
1853,1.5001571,A
1854,1.1454184,C
1855,0.83826816,C
1856,0.2608669,A
1857,0.8352251,C
1858,1.5198052,B
1859,0.6236383,B
1860,0.14067155,B
1861,0.53293425,B
1862,0.4841288,C
1863,1.0433049,B
1864,0.654242,B
1865,1.4058611,C
1866,1.0679597,B
1867,1.6420088,C
1868,1.1014882,B
1869,0.10964796,C
1870,0.08438263,B
1871,1.5197198,B
1872,0.9132118,C
1873,0.48034757,C
1874,0.2130416,B
1875,0.2169016,B
1876,0.58239514,A
1877,1.3688786,A
1878,0.50661963,A
1879,0.56707853,B
1880,0.4072221,C
1881,0.47801632,C
1882,0.10902099,A
1883,0.8524744,C
1884,1.631617,B
1885,0.21809953,A
1886,0.068780355,C
1887,1.4610734,A
1888,0.4012343,B
1889,0.81008,C
1890,0.24768236,B
1891,1.1400625,B
1892,1.1829077,A
1893,0.5566168,C
1894,1.1193968,B
1895,0.14191405,B
1896,0.52581203,B
1897,0.4311081,A
1898,0.8051017,A
1899,0.731096,A
1900,1.3400955,A
1901,0.6718073,A
1902,0.7916573,A
1903,0.60030806,B
1904,1.0435891,C
1905,0.8394788,A
1906,0.67216706,A
1907,1.2914039,C
1908,0.33173347,A
1909,0.62575865,B
1910,0.4290222,A
1911,0.6969404,A
1912,0.7486944,A
1913,0.67521864,C
1914,0.7042442,C
1915,1.4805754,B
1916,0.9912423,B
1917,0.6393249,B
1918,1.2902077,A
1919,1.1198472,C
1920,1.0950024,C
1921,0.6424025,A
1922,0.1580545,B
1923,0.32354134,A
1924,0.44816428,C
1925,0.44914746,C
1926,0.34751782,A
1927,0.94419664,C
1928,0.82701844,B
1929,1.2911663,C
1930,1.3078942,B
1931,0.8735739,A
1932,0.5216337,C
1933,0.9433326,B
1934,0.26413703,A
1935,1.5788422,B
1936,0.22225384,B
1937,0.16855253,B
1938,1.4738232,B
1939,0.10575108,C
1940,0.41727567,C
1941,0.23908678,B
1942,0.41464654,A
1943,0.34586126,B
1944,1.2315631,A
1945,0.48373777,A
1946,0.5851397,C
1947,0.9925394,A
1948,0.7558617,C
1949,0.62261784,A
1950,1.1108817,A
1951,1.5616589,B
1952,0.92154616,A
1953,0.7391393,A
1954,0.8750644,C
1955,0.51449186,C
1956,0.35706982,A
1957,1.530494,A
1958,0.3200362,A
1959,0.8242362,C
1960,1.129176,A
1961,0.9787089,C
1962,0.8387517,A
1963,0.8170042,C
1964,1.5414567,A
1965,0.03730169,C
1966,0.3739864,B
1967,0.6541916,C
1968,1.3124788,A
1969,1.2749734,B
1970,0.0048927516,A
1971,0.18157639,B
1972,0.3273396,A
1973,1.3443973,C
1974,0.53373265,B
1975,1.2648164,A
1976,1.3572046,B
1977,1.4092827,A
1978,1.1881516,A
1979,0.3352911,C
1980,0.32514548,B
1981,0.88137954,B
1982,0.6644691,C
1983,0.69262695,A
1984,0.5827361,B
1985,0.29653698,C
1986,0.23540112,A
1987,0.743486,A
1988,0.5190416,C
1989,0.91244006,A
1990,1.2735485,C
1991,0.4843884,B
1992,0.408777,C
1993,0.37143746,B
1994,1.1695067,C
1995,1.2660604,C
1996,0.410406,B
1997,0.45906928,B
1998,1.2218016,C
1999,1.2778873,A
2000,0.95428973,B
2001,1.3743776,B
2002,1.1954565,B
2003,0.13659003,C
2004,1.24053,B
2005,1.673291,C
2006,0.29976875,C
2007,1.395436,B
2008,1.1110728,B
2009,1.4443429,A
2010,0.66093236,C
2011,0.46799302,A
2012,0.047329083,C
2013,0.23225737,A
2014,0.93677694,B
2015,1.26834,A
2016,1.240514,B
2017,1.023163,B
2018,0.81506246,B
2019,0.4524644,A
2020,0.9264009,C
